Density(kg/m^3),Mach(m/s)
0.132651,295.07
0.131609,295.07
0.130576,295.07
0.12955,295.07
0.128533,295.07
0.127524,295.07
0.126522,295.07
0.125528,295.07
0.124543,295.07
0.123564,295.07
0.122594,295.07
0.121631,295.07
0.120676,295.07
0.119728,295.07
0.118788,295.07
0.117855,295.07
0.11693,295.07
0.116011,295.07
0.1151,295.07
0.114196,295.07
0.113299,295.07
0.11241,295.07
0.111527,295.07
0.110651,295.07
0.109782,295.07
0.10892,295.07
0.108064,295.07
0.107216,295.07
0.106374,295.07
0.105538,295.07
0.10471,295.07
0.103887,295.07
0.103071,295.07
0.102262,295.07
0.101459,295.07
0.100662,295.07
0.0998714,295.07
0.0990871,295.07
0.0983089,295.07
0.0975369,295.07
0.0967709,295.07
0.0960109,295.07
0.0952569,295.07
0.0945088,295.07
0.0937666,295.07
0.0930302,295.07
0.0922996,295.07
0.0915747,295.07
0.0908555,295.07
0.090142,295.07
0.0894341,295.07
0.0887317,295.07
0.0880349,295.07
0.0873234,295.104
0.0866179,295.138
0.0859182,295.172
0.0852243,295.206
0.0845362,295.24
0.0838538,295.274
0.0831771,295.308
0.082506,295.342
0.0818405,295.376
0.0811804,295.41
0.0805259,295.444
0.0798768,295.478
0.079233,295.512
0.0785946,295.546
0.0779615,295.58
0.0773336,295.614
0.0767109,295.648
0.0760934,295.682
0.075481,295.716
0.0748737,295.75
0.0742713,295.784
0.073674,295.818
0.0730816,295.852
0.0724941,295.886
0.0719115,295.92
0.0713336,295.954
0.0707606,295.987
0.0701923,296.021
0.0696286,296.055
0.0690697,296.089
0.0685153,296.123
0.0679655,296.157
0.0674203,296.191
0.0668795,296.225
0.0663432,296.259
0.0658114,296.293
0.0652839,296.327
0.0647607,296.361
0.0642419,296.395
0.0637273,296.428
0.063217,296.462
0.0627109,296.496
0.062209,296.53
0.0617111,296.564
0.0612174,296.598
0.0607278,296.632
0.0602421,296.666
0.0597605,296.699
0.0592828,296.733
0.0588091,296.767
0.0583392,296.801
0.0578732,296.835
0.057411,296.869
0.0569526,296.903
0.056498,296.936
0.0560471,296.97
0.0555999,297.004
0.0551564,297.038
0.0547165,297.072
0.0542803,297.105
0.0538476,297.139
0.0534184,297.173
0.0529928,297.207
0.0525706,297.241
0.052152,297.275
0.0517367,297.308
0.0513248,297.342
0.0509164,297.376
0.0505112,297.41
0.0501094,297.443
0.0497108,297.477
0.0493155,297.511
0.0489235,297.545
0.0485346,297.579
0.048149,297.612
0.0477665,297.646
0.0473871,297.68
0.0470108,297.714
0.0466375,297.747
0.0462674,297.781
0.0459002,297.815
0.045536,297.849
0.0451749,297.882
0.0448166,297.916
0.0444613,297.95
0.0441089,297.983
0.0437593,298.017
0.0434126,298.051
0.0430687,298.085
0.0427276,298.118
0.0423893,298.152
0.0420538,298.186
0.041721,298.219
0.0413909,298.253
0.0410634,298.287
0.0407387,298.32
0.0404166,298.354
0.0400971,298.388
0.0397801,298.421
0.0394658,298.455
0.039154,298.489
0.0388448,298.522
0.0385381,298.556
0.0382338,298.59
0.0379321,298.623
0.0376327,298.657
0.0373358,298.691
0.0370414,298.724
0.0367493,298.758
0.0364595,298.791
0.0361721,298.825
0.0358871,298.859
0.0356044,298.892
0.0353239,298.926
0.0350457,298.96
0.0347698,298.993
0.0344961,299.027
0.0342246,299.06
0.0339553,299.094
0.0336882,299.128
0.0334233,299.161
0.0331605,299.195
0.0328998,299.228
0.0326413,299.262
0.0323848,299.295
0.0321304,299.329
0.031878,299.363
0.0316277,299.396
0.0313794,299.43
0.0311331,299.463
0.0308888,299.497
0.0306465,299.53
0.0304061,299.564
0.0301677,299.597
0.0299312,299.631
0.0296966,299.664
0.0294638,299.698
0.029233,299.732
0.029004,299.765
0.0287769,299.799
0.0285516,299.832
0.0283281,299.866
0.0281064,299.899
0.0278865,299.933
0.0276683,299.966
0.0274519,300
0.0272373,300.033
0.0270244,300.067
0.0268131,300.1
0.0266036,300.133
0.0263958,300.167
0.0261896,300.2
0.0259851,300.234
0.0257823,300.267
0.025581,300.301
0.0253814,300.334
0.0251834,300.368
0.024987,300.401
0.0247921,300.435
0.0245988,300.468
0.0244071,300.501
0.0242169,300.535
0.0240282,300.568
0.023841,300.602
0.0236553,300.635
0.0234712,300.669
0.0232884,300.702
0.0231072,300.735
0.0229274,300.769
0.022749,300.802
0.0225721,300.836
0.0223966,300.869
0.0222225,300.902
0.0220498,300.936
0.0218784,300.969
0.0217084,301.003
0.0215398,301.036
0.0213726,301.069
0.0212066,301.103
0.021042,301.136
0.0208787,301.169
0.0207167,301.203
0.020556,301.236
0.0203966,301.269
0.0202385,301.303
0.0200816,301.336
0.0199259,301.369
0.0197716,301.403
0.0196184,301.436
0.0194664,301.469
0.0193157,301.503
0.0191662,301.536
0.0190178,301.569
0.0188707,301.603
0.0187247,301.636
0.0185798,301.669
0.0184362,301.703
0.0182936,301.736
0.0181522,301.769
0.0180119,301.803
0.0178728,301.836
0.0177347,301.869
0.0175978,301.902
0.0174619,301.936
0.0173271,301.969
0.0171934,302.002
0.0170607,302.036
0.0169291,302.069
0.0167985,302.102
0.016669,302.135
0.0165405,302.169
0.016413,302.202
0.0162865,302.235
0.016161,302.268
0.0160365,302.301
0.015913,302.335
0.0157905,302.368
0.015669,302.401
0.0155484,302.434
0.0154288,302.468
0.0153101,302.501
0.0151923,302.534
0.0150755,302.567
0.0149596,302.6
0.0148446,302.634
0.0147306,302.667
0.0146174,302.7
0.0145051,302.733
0.0143937,302.766
0.0142832,302.8
0.0141736,302.833
0.0140648,302.866
0.0139569,302.899
0.0138499,302.932
0.0137437,302.965
0.0136383,302.999
0.0135337,303.032
0.01343,303.065
0.0133271,303.098
0.013225,303.131
0.0131186,303.224
0.0130131,303.317
0.0129085,303.409
0.0128048,303.502
0.012702,303.595
0.0126001,303.688
0.012499,303.78
0.0123989,303.873
0.0122996,303.965
0.0122011,304.058
0.0121035,304.15
0.0120068,304.243
0.0119108,304.335
0.0118157,304.428
0.0117214,304.52
0.011628,304.612
0.0115353,304.705
0.0114434,304.797
0.0113523,304.889
0.011262,304.982
0.0111724,305.074
0.0110837,305.166
0.0109956,305.258
0.0109084,305.35
0.0108219,305.442
0.0107361,305.535
0.010651,305.627
0.0105667,305.719
0.0104831,305.811
0.0104002,305.903
0.010318,305.995
0.0102365,306.086
0.0101557,306.178
0.0100756,306.27
0.00999611,306.362
0.00991734,306.454
0.00983924,306.546
0.00976181,306.637
0.00968502,306.729
0.00960889,306.821
0.0095334,306.913
0.00945855,307.004
0.00938432,307.096
0.00931073,307.187
0.00923776,307.279
0.0091654,307.37
0.00909365,307.462
0.0090225,307.553
0.00895195,307.645
0.008882,307.736
0.00881263,307.828
0.00874385,307.919
0.00867564,308.01
0.008608,308.102
0.00854094,308.193
0.00847443,308.284
0.00840848,308.376
0.00834308,308.467
0.00827823,308.558
0.00821392,308.649
0.00815015,308.74
0.00808691,308.831
0.0080242,308.922
0.00796201,309.013
0.00790034,309.104
0.00783918,309.195
0.00777853,309.286
0.00771839,309.377
0.00765874,309.468
0.00759959,309.559
0.00754094,309.65
0.00748277,309.741
0.00742508,309.832
0.00736787,309.922
0.00731113,310.013
0.00725486,310.104
0.00719906,310.195
0.00714372,310.285
0.00708884,310.376
0.00703441,310.467
0.00698043,310.557
0.0069269,310.648
0.00687381,310.738
0.00682115,310.829
0.00676893,310.919
0.00671714,311.01
0.00666577,311.1
0.00661483,311.191
0.0065643,311.281
0.00651419,311.371
0.00646449,311.462
0.0064152,311.552
0.00636632,311.642
0.00631783,311.733
0.00626974,311.823
0.00622205,311.913
0.00617474,312.003
0.00612782,312.093
0.00608128,312.183
0.00603513,312.274
0.00598935,312.364
0.00594394,312.454
0.00589891,312.544
0.00585424,312.634
0.00580993,312.724
0.00576599,312.814
0.0057224,312.904
0.00567917,312.993
0.00563629,313.083
0.00559375,313.173
0.00555156,313.263
0.00550972,313.353
0.00546821,313.442
0.00542704,313.532
0.0053862,313.622
0.00534569,313.712
0.00530551,313.801
0.00526566,313.891
0.00522612,313.981
0.00518691,314.07
0.00514801,314.16
0.00510943,314.249
0.00507115,314.339
0.00503319,314.428
0.00499553,314.518
0.00495817,314.607
0.00492112,314.696
0.00488436,314.786
0.00484789,314.875
0.00481172,314.965
0.00477584,315.054
0.00474025,315.143
0.00470494,315.232
0.00466992,315.322
0.00463517,315.411
0.00460071,315.5
0.00456651,315.589
0.0045326,315.678
0.00449895,315.767
0.00446557,315.856
0.00443246,315.945
0.00439961,316.034
0.00436702,316.123
0.0043347,316.212
0.00430263,316.301
0.00427081,316.39
0.00423925,316.479
0.00420794,316.568
0.00417688,316.657
0.00414606,316.746
0.00411549,316.835
0.00408516,316.923
0.00405507,317.012
0.00402522,317.101
0.00399561,317.19
0.00396623,317.278
0.00393708,317.367
0.00390816,317.455
0.00387947,317.544
0.00385101,317.633
0.00382277,317.721
0.00379476,317.81
0.00376696,317.898
0.00373939,317.987
0.00371203,318.075
0.00368488,318.164
0.00365795,318.252
0.00363123,318.34
0.00360473,318.429
0.00357842,318.517
0.00355233,318.605
0.00352644,318.694
0.00350075,318.782
0.00347527,318.87
0.00344998,318.958
0.00342489,319.047
0.0034,319.135
0.0033753,319.223
0.0033508,319.311
0.00332648,319.399
0.00330236,319.487
0.00327842,319.575
0.00325468,319.663
0.00323111,319.751
0.00320773,319.839
0.00318453,319.927
0.00316151,320.015
0.00313867,320.103
0.00311601,320.191
0.00309352,320.279
0.00307121,320.366
0.00304907,320.454
0.00302711,320.542
0.00300531,320.63
0.00298368,320.717
0.00296222,320.805
0.00294092,320.893
0.00291979,320.981
0.00289883,321.068
0.00287802,321.156
0.00285738,321.243
0.00283689,321.331
0.00281656,321.418
0.00279639,321.506
0.00277638,321.593
0.00275651,321.681
0.0027368,321.768
0.00271725,321.856
0.00269784,321.943
0.00267858,322.03
0.00265947,322.118
0.00264051,322.205
0.00262169,322.292
0.00260302,322.38
0.00258448,322.467
0.00256609,322.554
0.00254785,322.641
0.00252974,322.729
0.00251177,322.816
0.00249393,322.903
0.00247624,322.99
0.00245867,323.077
0.00244124,323.164
0.00242395,323.251
0.00240679,323.338
0.00238975,323.425
0.00237285,323.512
0.00235607,323.599
0.00233943,323.686
0.00232291,323.773
0.00230651,323.86
0.00229024,323.947
0.00227409,324.033
0.00225807,324.12
0.00224216,324.207
0.00222638,324.294
0.00221071,324.381
0.00219517,324.467
0.00217974,324.554
0.00216443,324.641
0.00214923,324.727
0.00213415,324.814
0.00211919,324.9
0.00210433,324.987
0.00208959,325.074
0.00207496,325.16
0.00206044,325.247
0.00204602,325.333
0.00203172,325.42
0.00201752,325.506
0.00200343,325.592
0.00198945,325.679
0.00197557,325.765
0.0019618,325.851
0.00194813,325.938
0.00193456,326.024
0.00192109,326.11
0.00190772,326.197
0.00189446,326.283
0.00188129,326.369
0.00186822,326.455
0.00185525,326.541
0.00184237,326.628
0.0018296,326.714
0.00181691,326.8
0.00180432,326.886
0.00179183,326.972
0.00177943,327.058
0.00176712,327.144
0.0017549,327.23
0.00174277,327.316
0.00173074,327.402
0.00171879,327.488
0.00170693,327.574
0.00169516,327.659
0.00168348,327.745
0.00167188,327.831
0.00166037,327.917
0.00164894,328.003
0.0016376,328.088
0.00162634,328.174
0.00161517,328.26
0.00160408,328.346
0.00159307,328.431
0.00158214,328.517
0.00157129,328.602
0.00156052,328.688
0.00154983,328.774
0.00153922,328.859
0.00152869,328.945
0.00151824,329.03
0.00150786,329.116
0.00149756,329.201
0.00148733,329.287
0.00147718,329.372
0.0014671,329.457
0.0014571,329.543
0.00144717,329.628
0.00143732,329.713
0.00142753,329.799
0.00141855,329.799
0.00140963,329.799
0.00140076,329.799
0.00139195,329.799
0.00138319,329.799
0.00137449,329.799
0.00136584,329.799
0.00135725,329.799
0.00134871,329.799
0.00134022,329.799
0.00133179,329.799
0.00132341,329.799
0.00131508,329.799
0.00130681,329.799
0.00129859,329.799
0.00129042,329.799
0.0012823,329.799
0.00127423,329.799
0.00126622,329.799
0.00125825,329.799
0.00125033,329.799
0.00124247,329.799
0.00123465,329.799
0.00122688,329.799
0.00121916,329.799
0.00121149,329.799
0.00120387,329.799
0.0011963,329.799
0.00118877,329.799
0.00118129,329.799
0.00117386,329.799
0.00116647,329.799
0.00115914,329.799
0.00115184,329.799
0.0011446,329.799
0.00113739,329.799
0.00113024,329.799
0.00112313,329.799
0.00111606,329.799
0.00110904,329.799
0.00110206,329.799
0.00109513,329.799
0.00108824,329.799
0.00108139,329.799
0.00107459,329.799
0.00106783,329.799
0.00106111,329.799
0.00105443,329.799
0.0010478,329.799
0.00104121,329.799
0.00103466,329.799
0.00102815,329.799
0.00102168,329.799
0.00101525,329.799
0.00100886,329.799
0.00100252,329.799
0.00099621,329.799
0.000989942,329.799
0.000983714,329.799
0.000977525,329.799
0.000971375,329.799
0.000965264,329.799
0.000959191,329.799
0.000953156,329.799
0.000947159,329.799
0.0009412,329.799
0.000935279,329.799
0.000929395,329.799
0.000923547,329.799
0.000917737,329.799
0.000911963,329.799
0.000906225,329.799
0.000900524,329.799
0.000894858,329.799
0.000889228,329.799
0.000883634,329.799
0.000878075,329.799
0.00087255,329.799
0.000867061,329.799
0.000861606,329.799
0.000856626,329.713
0.000851674,329.628
0.000846747,329.543
0.000841846,329.457
0.000836971,329.372
0.000832122,329.287
0.000827298,329.201
0.0008225,329.116
0.000817728,329.03
0.00081298,328.945
0.000808258,328.859
0.00080356,328.774
0.000798888,328.688
0.00079424,328.602
0.000789617,328.517
0.000785018,328.431
0.000780444,328.346
0.000775894,328.26
0.000771368,328.174
0.000766867,328.088
0.000762389,328.003
0.000757935,327.917
0.000753505,327.831
0.000749098,327.745
0.000744715,327.659
0.000740355,327.574
0.000736019,327.488
0.000731705,327.402
0.000727415,327.316
0.000723147,327.23
0.000718903,327.144
0.000714681,327.058
0.000710482,326.972
0.000706305,326.886
0.00070215,326.8
0.000698018,326.714
0.000693908,326.628
0.00068982,326.541
0.000685754,326.455
0.00068171,326.369
0.000677687,326.283
0.000673687,326.197
0.000669707,326.11
0.000665749,326.024
0.000661813,325.938
0.000657897,325.851
0.000654003,325.765
0.00065013,325.679
0.000646278,325.592
0.000642446,325.506
0.000638635,325.42
0.000634845,325.333
0.000631075,325.247
0.000627326,325.16
0.000623597,325.074
0.000619888,324.987
0.000616199,324.9
0.00061253,324.814
0.000608881,324.727
0.000605252,324.641
0.000601643,324.554
0.000598053,324.467
0.000594483,324.381
0.000590932,324.294
0.000587401,324.207
0.000583888,324.12
0.000580395,324.033
0.000576921,323.947
0.000573466,323.86
0.00057003,323.773
0.000566612,323.686
0.000563214,323.599
0.000559833,323.512
0.000556472,323.425
0.000553128,323.338
0.000549803,323.251
0.000546496,323.164
0.000543208,323.077
0.000539937,322.99
0.000536684,322.903
0.000533449,322.816
0.000530232,322.729
0.000527033,322.641
0.000523851,322.554
0.000520686,322.467
0.000517539,322.38
0.00051441,322.292
0.000511298,322.205
0.000508202,322.118
0.000505124,322.03
0.000502063,321.943
0.000499019,321.856
0.000495991,321.768
0.000492981,321.681
0.000489987,321.593
0.000487009,321.506
0.000484048,321.418
0.000481104,321.331
0.000478175,321.243
0.000475263,321.156
0.000472368,321.068
0.000469488,320.981
0.000466624,320.893
0.000463776,320.805
0.000460944,320.717
0.000458128,320.63
0.000455327,320.542
0.000452542,320.454
0.000449773,320.366
0.000447019,320.279
0.00044428,320.191
0.000441557,320.103
0.000438849,320.015
0.000436156,319.927
0.000433478,319.839
0.000430815,319.751
0.000428167,319.663
0.000425534,319.575
0.000422915,319.487
0.000420311,319.399
0.000417722,319.311
0.000415147,319.223
0.000412587,319.135
0.000410041,319.047
0.00040751,318.958
0.000404993,318.87
0.00040249,318.782
0.000400001,318.694
0.000397526,318.605
0.000395065,318.517
0.000392618,318.429
0.000390184,318.34
0.000387765,318.252
0.000385359,318.164
0.000382967,318.075
0.000380588,317.987
0.000378222,317.898
0.000375871,317.81
0.000373532,317.721
0.000371207,317.633
0.000368895,317.544
0.000366596,317.455
0.00036431,317.367
0.000362037,317.278
0.000359777,317.19
0.000357529,317.101
0.000355295,317.012
0.000353073,316.923
0.000350864,316.835
0.000348668,316.746
0.000346484,316.657
0.000344313,316.568
0.000342154,316.479
0.000340007,316.39
0.000337873,316.301
0.00033575,316.212
0.00033364,316.123
0.000331542,316.034
0.000329456,315.945
0.000327382,315.856
0.00032532,315.767
0.00032327,315.678
0.000321232,315.589
0.000319205,315.5
0.00031719,315.411
0.000315186,315.322
0.000313194,315.232
0.000311214,315.143
0.000309245,315.054
0.000307287,314.965
0.00030534,314.875
0.000303405,314.786
0.000301481,314.696
0.000299568,314.607
0.000297666,314.518
0.000295775,314.428
0.000293896,314.339
0.000292027,314.249
0.000290168,314.16
0.000288321,314.07
0.000286484,313.981
0.000284658,313.891
0.000282843,313.801
0.000281038,313.712
0.000279243,313.622
0.000277459,313.532
0.000275686,313.442
0.000273923,313.353
0.00027217,313.263
0.000270427,313.173
0.000268694,313.083
0.000266972,312.993
0.00026526,312.904
0.000263557,312.814
0.000261865,312.724
0.000260182,312.634
0.000258509,312.544
0.000256847,312.454
0.000255193,312.364
0.00025355,312.274
0.000251916,312.183
0.000250292,312.093
0.000248677,312.003
0.000247072,311.913
0.000245477,311.823
0.00024389,311.733
0.000242313,311.642
0.000240746,311.552
0.000239187,311.462
0.000237638,311.371
0.000236098,311.281
0.000234567,311.191
0.000233045,311.1
0.000231532,311.01
0.000230028,310.919
0.000228533,310.829
0.000227046,310.738
0.000225569,310.648
0.0002241,310.557
0.00022264,310.467
0.000221189,310.376
0.000219746,310.285
0.000218312,310.195
0.000216886,310.104
0.000215469,310.013
0.000214061,309.922
0.00021266,309.832
0.000211268,309.741
0.000209885,309.65
0.000208509,309.559
0.000207142,309.468
0.000205783,309.377
0.000204432,309.286
0.00020309,309.195
0.000201755,309.104
0.000200428,309.013
0.000199109,308.922
0.000197798,308.831
0.000196495,308.74
0.0001952,308.649
0.000193913,308.558
0.000192633,308.467
0.000191361,308.376
0.000190097,308.284
0.00018884,308.193
0.000187591,308.102
0.000186349,308.01
0.000185115,307.919
0.000183888,307.828
0.000182669,307.736
0.000181457,307.645
0.000180253,307.553
0.000179055,307.462
0.000177865,307.37
0.000176682,307.279
0.000175507,307.187
0.000174338,307.096
0.000173177,307.004
0.000172022,306.913
0.000170875,306.821
0.000169735,306.729
0.000168601,306.637
0.000167474,306.546
0.000166355,306.454
0.000165242,306.362
0.000164136,306.27
0.000163036,306.178
0.000161944,306.086
0.000160858,305.995
0.000159778,305.903
0.000158706,305.811
0.000157639,305.719
0.00015658,305.627
0.000155527,305.535
0.00015448,305.442
0.00015344,305.35
0.000152406,305.258
0.000151378,305.166
0.000150357,305.074
0.000149342,304.982
0.000148333,304.889
0.000147331,304.797
0.000146334,304.705
0.000145344,304.612
0.00014436,304.52
0.000143382,304.428
0.00014241,304.335
0.000141444,304.243
0.000140484,304.15
0.00013953,304.058
0.000138582,303.965
0.000137639,303.873
0.000136703,303.78
0.000135772,303.688
0.000134847,303.595
0.000133928,303.502
0.000133015,303.409
0.000132107,303.317
0.000131205,303.224
0.000130308,303.131
0.000129417,303.038
0.000128532,302.946
0.000127652,302.853
0.000126778,302.76
0.000125909,302.667
0.000125046,302.574
0.000124187,302.481
0.000123335,302.388
0.000122487,302.295
0.000121645,302.202
0.000120809,302.109
0.000119977,302.016
0.000119151,301.922
0.00011833,301.829
0.000117514,301.736
0.000116703,301.643
0.000115897,301.549
0.000115096,301.456
0.000114301,301.363
0.00011351,301.269
0.000112724,301.176
0.000111944,301.083
0.000111168,300.989
0.000110397,300.896
0.000109631,300.802
0.00010887,300.709
0.000108113,300.615
0.000107362,300.522
0.000106615,300.428
0.000105873,300.334
0.000105136,300.241
0.000104403,300.147
0.000103675,300.053
0.000102952,299.959
0.000102233,299.866
0.000101519,299.772
0.000100809,299.678
0.000100104,299.584
0.0000994031,299.49
0.0000987069,299.396
0.0000980152,299.302
0.0000973279,299.208
0.0000966449,299.114
0.0000959663,299.02
0.0000952921,298.926
0.0000946222,298.832
0.0000939566,298.738
0.0000932952,298.644
0.0000926381,298.549
0.0000919852,298.455
0.0000913366,298.361
0.000090692,298.266
0.0000900516,298.172
0.0000894154,298.078
0.0000887832,297.983
0.0000881551,297.889
0.0000875311,297.795
0.0000869111,297.7
0.000086295,297.606
0.000085683,297.511
0.0000850749,297.416
0.0000844708,297.322
0.0000838705,297.227
0.0000832742,297.133
0.0000826817,297.038
0.000082093,296.943
0.0000815082,296.848
0.0000809272,296.754
0.0000803499,296.659
0.0000797764,296.564
0.0000792067,296.469
0.0000786406,296.374
0.0000780782,296.279
0.0000775195,296.184
0.0000769644,296.089
0.000076413,295.994
0.0000758651,295.899
0.0000753209,295.804
0.0000747802,295.709
0.000074243,295.614
0.0000737093,295.519
0.0000731792,295.423
0.0000726525,295.328
0.0000721293,295.233
0.0000716095,295.138
0.0000710931,295.042
0.0000705801,294.947
0.0000700705,294.852
0.0000695642,294.756
0.0000690613,294.661
0.0000685617,294.565
0.0000680654,294.47
0.0000675723,294.374
0.0000670825,294.279
0.000066596,294.183
0.0000661126,294.087
0.0000656325,293.992
0.0000651555,293.896
0.0000646817,293.8
0.000064211,293.704
0.0000637316,293.636
0.0000632556,293.568
0.0000627829,293.499
0.0000623136,293.431
0.0000618475,293.362
0.0000613847,293.294
0.0000609251,293.225
0.0000604688,293.157
0.0000600156,293.088
0.0000595657,293.019
0.0000591189,292.951
